ID_DigitalCustomer,ID_WebVisit,Dt_WebVisit,Traffic_Source,Traffic_Medium,Device_Type,NumPageViews,Bounce_Flag,Viewed_Product,Added_To_Cart,Started_Checkout,Purchase_Completed,Revenue,NumTransactions
6722355366831429055,1486345308,5/2/2017,direta,nenhum,desktop,2,0,0,0,0,0,0,0
9334655840242218288,1486365162,5/2/2017,direta,nenhum,desktop,2,0,0,0,0,0,0,0
4410657587129722581,1486355256,5/2/2017,direta,nenhum,mobile,2,0,0,0,0,0,0,0
1462990062888796150,1486303509,5/2/2017,direta,nenhum,mobile,2,0,0,0,0,0,0,0
5007402829956156825,1486288992,5/2/2017,direta,nenhum,desktop,2,0,0,0,0,0,0,0
5528121041536242695,1486358539,5/2/2017,direta,nenhum,desktop,2,0,0,0,0,0,0,0
9953087268595068847,1486294518,5/2/2017,direta,nenhum,desktop,2,0,0,0,0,0,0,0
248086732785905520,1486340000,5/2/2017,direta,nenhum,desktop,2,0,0,0,0,0,0,0
9162224236547573390,1486351934,5/2/2017,direta,nenhum,desktop,2,0,0,0,0,0,0,0
4438487510968674118,1486338704,5/2/2017,direta,nenhum,mobile,2,0,0,0,0,0,0,0
6468456880081125756,1486358837,5/2/2017,youTube,indicacao,desktop,2,0,0,0,0,0,0,0
9441848792079001889,1486343593,5/2/2017,direta,nenhum,desktop,2,0,0,0,0,0,0,0
8308063847197116957,1486305865,5/2/2017,direta,nenhum,mobile,2,0,0,0,0,0,0,0
4918476051340795180,1486344770,5/2/2017,direta,nenhum,desktop,2,0,0,0,0,0,0,0
7114521100062816375,1486308779,5/2/2017,direta,nenhum,desktop,2,0,0,0,0,0,0,0
8722481160192374763,1486335426,5/2/2017,direta,nenhum,desktop,2,0,0,0,0,0,0,0
8065456013019507964,1486325006,5/2/2017,direta,nenhum,desktop,2,0,0,0,0,0,0,0
9850494126331325606,1486352386,5/2/2017,direta,nenhum,desktop,2,0,0,0,0,0,0,0
671422737791496659,1486304280,5/2/2017,direta,nenhum,desktop,2,0,0,0,0,0,0,0
6680599443918427964,1486332014,5/2/2017,direta,nenhum,desktop,2,0,0,0,0,0,0,0
8284072865851255536,1486344890,5/2/2017,direta,nenhum,desktop,2,0,0,0,0,0,0,0
