ID_Cliente_Digital,ID_Sesion_Web,Fecha_Sesion,Origen_Trafico,Medio_Trafico,Tipo_Dispositivo,Num_Paginas_Vistas,Indicador_Rebote,Productos_Vistos,Agregados_Carrito,Inicios_Checkout,Compras_Completadas,Ingresos,Num_Transacciones
6.722355366831429e+18,1486345308,5/2/2017,Directo,Ninguno,Escritorio,2,Sin rebote,0,0,0,0,0.0,0
9.334655840242217e+18,1486365162,5/2/2017,Directo,Ninguno,Escritorio,2,Sin rebote,0,0,0,0,0.0,0
4.4106575871297224e+18,1486355256,5/2/2017,Directo,Ninguno,Móvil,2,Sin rebote,0,0,0,0,0.0,0
1.462990062888796e+18,1486303509,5/2/2017,Directo,Ninguno,Móvil,2,Sin rebote,0,0,0,0,0.0,0
5.007402829956156e+18,1486288992,5/2/2017,Directo,Ninguno,Escritorio,2,Sin rebote,0,0,0,0,0.0,0
5.528121041536243e+18,1486358539,5/2/2017,Directo,Ninguno,Escritorio,2,Sin rebote,0,0,0,0,0.0,0
9.953087268595069e+18,1486294518,5/2/2017,Directo,Ninguno,Escritorio,2,Sin rebote,0,0,0,0,0.0,0
2.4808673278590554e+17,1486340000,5/2/2017,Directo,Ninguno,Escritorio,2,Sin rebote,0,0,0,0,0.0,0
9.162224236547572e+18,1486351934,5/2/2017,Directo,Ninguno,Escritorio,2,Sin rebote,0,0,0,0,0.0,0
4.438487510968674e+18,1486338704,5/2/2017,Directo,Ninguno,Móvil,2,Sin rebote,0,0,0,0,0.0,0
6.468456880081125e+18,1486358837,5/2/2017,YouTube,Recomendación,Escritorio,2,Sin rebote,0,0,0,0,0.0,0
9.441848792079002e+18,1486343593,5/2/2017,Directo,Ninguno,Escritorio,2,Sin rebote,0,0,0,0,0.0,0
8.308063847197118e+18,1486305865,5/2/2017,Directo,Ninguno,Móvil,2,Sin rebote,0,0,0,0,0.0,0
4.918476051340795e+18,1486344770,5/2/2017,Directo,Ninguno,Escritorio,2,Sin rebote,0,0,0,0,0.0,0
7.114521100062816e+18,1486308779,5/2/2017,Directo,Ninguno,Escritorio,2,Sin rebote,0,0,0,0,0.0,0
